player,action,tile,combination
0,discard,N,
1,drawn,,
1,discard,S,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,W,
0,drawn,,
0,discard,Red,
1,drawn,,
1,discard,Red,
2,drawn,,
2,discard,N,
3,drawn,,
3,discard,White,
0,drawn,,
0,discard,c9,
1,drawn,,
1,discard,c6,
2,drawn,,
2,discard,W,
3,drawn,,
3,discard,b8,
0,drawn,,
0,discard,d2,
1,drawn,,
1,discard,S,
2,drawn,,
2,discard,S,
3,drawn,,
3,discard,d3,
0,drawn,,
0,discard,c1,
1,drawn,,
1,discard,d1,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,b6,
0,drawn,,
0,discard,White,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,Green,
3,drawn,,
3,discard,c1,
0,drawn,,
0,discard,White,
1,drawn,,
1,discard,c2,
2,drawn,,
2,discard,d8,
3,drawn,,
3,discard,b9,
0,drawn,,
0,discard,d1,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,b9,
3,drawn,,
3,discard,c2,
0,drawn,,
0,discard,b6,
1,drawn,,
1,discard,c4,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,c3,
0,drawn,,
0,discard,S,
1,drawn,,
1,discard,b4,
2,drawn,,
2,discard,d7,
3,drawn,,
3,discard,c3,
0,drawn,,
0,discard,d2,
1,drawn,,
1,discard,d2,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,d3,
0,drawn,,
0,discard,b2,
1,drawn,,
1,discard,d1,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,W,
0,drawn,,
0,discard,b3,
1,drawn,,
1,discard,b1,
2,drawn,,
2,discard,b5,
3,drawn,,
3,discard,c4,
0,drawn,,
0,discard,c9,
1,drawn,,
1,discard,N,
2,drawn,,
2,discard,b5,
3,drawn,,
3,discard,White,
0,drawn,,
0,discard,E,
1,drawn,,
1,discard,d1,
2,drawn,,
2,discard,b7,
3,drawn,,
3,discard,b5,
0,drawn,,
0,discard,b2,
1,drawn,,
1,discard,b1,
2,drawn,,
2,discard,Green,
3,drawn,,
3,discard,N,
0,drawn,,
0,discard,b3,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,d7,
3,drawn,,
3,discard,b4,
0,drawn,,
0,discard,b4,
1,drawn,,
1,discard,b4,
2,drawn,,
2,discard,c9,
3,drawn,,
3,discard,b7,
0,drawn,,
0,discard,b5,
1,drawn,,
1,discard,c4,
2,drawn,,
2,discard,b6,
3,drawn,,
3,discard,c5,
0,drawn,,
0,discard,c8,
1,drawn,,
1,discard,d8,
2,drawn,,
2,discard,W,
3,drawn,,
3,discard,Green,
0,drawn,,
0,discard,c5,
1,drawn,,
1,discard,d9,
2,drawn,,
2,discard,c9,
3,drawn,,
3,discard,b8,
0,drawn,,
0,discard,d3,
1,drawn,,
1,discard,d9,
2,drawn,,
2,discard,d2,
3,drawn,,
3,discard,b1,
