player,action,tile,combination
0,discard,W,
1,drawn,,
1,discard,N,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,S,
0,drawn,,
0,discard,c2,
1,drawn,,
1,discard,W,
2,drawn,,
2,discard,N,
3,drawn,,
3,discard,Green,
0,drawn,,
0,discard,c2,
1,drawn,,
1,discard,S,
2,drawn,,
2,discard,S,
3,drawn,,
3,discard,White,
0,drawn,,
0,discard,N,
1,drawn,,
1,discard,White,
2,drawn,,
2,discard,W,
3,drawn,,
3,discard,c6,
0,drawn,,
0,discard,c8,
1,drawn,,
1,discard,b3,
2,drawn,,
2,discard,White,
3,drawn,,
3,discard,d9,
0,drawn,,
0,discard,Green,
1,drawn,,
1,discard,S,
2,drawn,,
2,discard,c3,
3,drawn,,
3,discard,d6,
0,drawn,,
0,discard,d6,
1,drawn,,
1,discard,b9,
2,drawn,,
2,discard,c8,
3,drawn,,
3,discard,d8,
0,drawn,,
0,discard,Red,
1,drawn,,
1,discard,d7,
2,drawn,,
2,discard,c1,
3,drawn,,
3,discard,White,
0,drawn,,
0,discard,d6,
1,drawn,,
1,discard,Red,
2,drawn,,
2,discard,c6,
3,drawn,,
3,discard,N,
0,drawn,,
0,discard,W,
1,drawn,,
1,discard,Red,
2,drawn,,
2,discard,d5,
3,drawn,,
3,discard,c9,
0,drawn,,
0,discard,d7,
1,drawn,,
1,discard,b8,
2,drawn,,
2,discard,c6,
3,drawn,,
3,discard,c6,
0,drawn,,
0,discard,d4,
1,drawn,,
1,discard,c7,
2,drawn,,
2,discard,Green,
3,drawn,,
3,discard,d7,
0,drawn,,
0,discard,c9,
1,drawn,,
1,discard,c8,
2,drawn,,
2,discard,Green,
3,drawn,,
3,discard,b9,
0,drawn,,
0,discard,c2,
1,drawn,,
1,discard,d1,
2,drawn,,
2,discard,b8,
3,drawn,,
3,discard,b9,
0,drawn,,
0,discard,c1,
1,drawn,,
1,discard,d9,
2,drawn,,
2,discard,b9,
3,drawn,,
3,discard,c9,
0,drawn,,
0,discard,d4,
1,drawn,,
1,discard,b5,
2,drawn,,
2,discard,c5,
3,drawn,,
3,discard,c8,
0,drawn,,
0,discard,Red,
1,drawn,,
1,discard,d6,
2,drawn,,
2,discard,c9,
3,drawn,,
3,discard,b8,
0,drawn,,
0,discard,d3,
1,drawn,,
1,discard,d5,
2,drawn,,
2,discard,E,
3,drawn,,
3,discard,d9,
0,drawn,,
0,discard,c7,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,d1,
3,drawn,,
3,discard,b7,
0,drawn,,
0,discard,E,
1,drawn,,
1,discard,b5,
2,drawn,,
2,discard,b7,
3,drawn,,
3,discard,d7,
0,drawn,,
0,discard,b4,
1,drawn,,
1,discard,E,
2,drawn,,
2,discard,d2,
3,drawn,,
3,discard,c7,
0,drawn,,
0,discard,c4,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,c7,
3,drawn,,
3,discard,d1,
