player,action,tile,combination
0,discard,E,
1,drawn,,
1,discard,b1,
2,drawn,,
2,discard,W,
3,drawn,,
3,discard,c2,
0,drawn,,
0,discard,Green,
1,drawn,,
1,discard,d3,
2,drawn,,
2,discard,S,
3,drawn,,
3,discard,N,
0,drawn,,
0,discard,N,
1,drawn,,
1,discard,d9,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,N,
0,drawn,,
0,discard,b9,
1,drawn,,
1,discard,d8,
2,drawn,,
2,discard,b1,
3,drawn,,
3,discard,c3,
0,drawn,,
0,discard,c9,
1,drawn,,
1,discard,W,
2,drawn,,
2,discard,c1,
3,drawn,,
3,discard,b9,
0,drawn,,
0,discard,b8,
1,drawn,,
1,discard,W,
2,drawn,,
2,discard,White,
3,drawn,,
3,discard,c3,
0,drawn,,
0,discard,b5,
1,drawn,,
1,discard,W,
2,drawn,,
2,discard,White,
3,drawn,,
3,discard,d8,
0,drawn,,
0,discard,b1,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,c5,
3,drawn,,
3,discard,Red,
0,drawn,,
0,discard,b2,
1,drawn,,
1,discard,b3,
2,drawn,,
2,discard,c5,
3,drawn,,
3,discard,S,
0,drawn,,
0,discard,c1,
1,drawn,,
1,discard,d6,
2,drawn,,
2,discard,S,
3,drawn,,
3,discard,b8,
0,drawn,,
0,discard,b2,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,c7,
3,drawn,,
3,discard,d5,
0,drawn,,
0,discard,Red,
1,drawn,,
1,discard,b1,
2,drawn,,
2,discard,White,
3,drawn,,
3,discard,d7,
0,drawn,,
0,discard,b4,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,c7,
3,drawn,,
3,discard,c7,
0,drawn,,
0,discard,b3,
1,drawn,,
1,discard,d8,
2,drawn,,
2,discard,c8,
3,drawn,,
3,discard,d5,
0,drawn,,
0,discard,b9,
1,drawn,,
1,discard,c6,
2,drawn,,
2,discard,b4,
3,drawn,,
3,discard,E,
0,drawn,,
0,discard,c2,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,d6,
3,drawn,,
3,discard,E,
0,drawn,,
0,discard,d9,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,c3,
3,drawn,,
3,discard,E,
0,drawn,,
0,discard,b3,
1,drawn,,
1,discard,Red,
2,drawn,,
2,discard,c4,
3,drawn,,
3,discard,White,
0,drawn,,
0,discard,d9,
1,drawn,,
1,discard,b2,
2,drawn,,
2,discard,d7,
3,drawn,,
3,discard,c4,
0,drawn,,
0,discard,S,
1,drawn,,
1,discard,N,
2,drawn,,
2,discard,c4,
3,drawn,,
3,discard,d9,
0,drawn,,
0,discard,d1,
1,drawn,,
1,discard,c6,
2,drawn,,
2,discard,d7,
3,drawn,,
3,discard,c2,
0,drawn,,
0,discard,c8,
1,drawn,,
1,discard,d8,
2,drawn,,
2,discard,d5,
3,drawn,,
3,discard,c2,
0,drawn,,
0,discard,b8,
