player,action,tile,combination
0,discard,E,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,S,
3,drawn,,
3,discard,d9,
0,drawn,,
0,discard,N,
1,drawn,,
1,discard,N,
2,drawn,,
2,discard,d8,
3,drawn,,
3,discard,E,
0,drawn,,
0,discard,S,
1,drawn,,
1,discard,White,
2,drawn,,
2,discard,S,
3,drawn,,
3,discard,d1,
0,drawn,,
0,discard,White,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,W,
0,drawn,,
0,discard,b2,
1,drawn,,
1,discard,b9,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,W,
0,drawn,,
0,discard,b9,
1,drawn,,
1,discard,d7,
2,drawn,,
2,discard,c6,
3,drawn,,
3,discard,d7,
0,drawn,,
0,discard,E,
1,drawn,,
1,discard,White,
2,drawn,,
2,discard,c5,
3,drawn,,
3,discard,d9,
0,drawn,,
0,discard,c9,
1,drawn,,
1,discard,c9,
2,drawn,,
2,discard,N,
3,drawn,,
3,discard,d4,
0,drawn,,
0,discard,d1,
1,drawn,,
1,discard,b8,
2,drawn,,
2,discard,b3,
3,drawn,,
3,discard,Red,
0,drawn,,
0,discard,W,
1,drawn,,
1,discard,c4,
2,drawn,,
2,discard,c6,
3,drawn,,
3,discard,d3,
0,drawn,,
0,discard,W,
1,drawn,,
1,discard,c6,
2,drawn,,
2,discard,b3,
3,drawn,,
3,discard,S,
0,drawn,,
0,discard,b6,
1,drawn,,
1,discard,d6,
2,drawn,,
2,discard,b2,
3,drawn,,
3,discard,b1,
0,drawn,,
0,discard,b6,
1,drawn,,
1,discard,c8,
2,drawn,,
2,discard,Red,
3,drawn,,
3,discard,E,
0,drawn,,
0,discard,b8,
1,drawn,,
1,discard,b4,
2,drawn,,
2,discard,N,
3,drawn,,
3,discard,b2,
0,drawn,,
0,discard,c4,
1,drawn,,
1,discard,b7,
2,drawn,,
2,discard,b5,
3,drawn,,
3,discard,d5,
0,drawn,,
0,discard,d2,
1,drawn,,
1,discard,c8,
2,drawn,,
2,discard,b6,
3,drawn,,
3,discard,d9,
0,drawn,,
0,discard,b4,
1,drawn,,
1,discard,c2,
2,drawn,,
2,discard,c5,
3,drawn,,
3,discard,b5,
0,drawn,,
0,discard,c4,
1,drawn,,
1,discard,b4,
2,drawn,,
2,discard,b6,
3,drawn,,
3,discard,b5,
0,drawn,,
0,discard,c5,
1,drawn,,
1,discard,Green,
2,drawn,,
2,discard,White,
3,drawn,,
3,discard,b3,
0,drawn,,
0,discard,c3,
1,drawn,,
1,discard,b8,
2,drawn,,
2,discard,b7,
3,drawn,,
3,discard,d5,
0,drawn,,
0,discard,Green,
1,drawn,,
1,discard,c1,
2,drawn,,
2,discard,c9,
3,drawn,,
3,discard,b4,
0,drawn,,
0,discard,c6,
1,drawn,,
1,discard,d6,
2,drawn,,
2,discard,b9,
3,drawn,,
3,discard,b5,
